economy,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ARM,Armenia,133766597.214579,185541480.295612,185281877.430557,248716372.475292,338786931.987878,421805359.502679,584125917.280424,755014433.252569,827896561.867145,776242607.732695,1001373794.38128,1285736879.17908,1375471849.35305,1492516488.76406,1593925191.36084,1484846204.05898,1640410745.35561,1981569102.16365,2157812506.12954
SMR,San Marino,,,,,,,,,,,,,,,,,,652072259.614035,732543539.836299
CHE,Switzerland,45952151815.7211,43709245880.7109,46396422886.7392,52989167953.0258,62074466615.127,67949705029.4504,72954805669.2353,87429240732.6623,99428948144.6634,95353352226.4215,98974012499.6781,113330993628.71,117743866174.76,119862911996.404,128815525724.484,122687346001.113,125037489047.476,126901765287.609,137193145346.649
GRC,Greece,19228544093.0157,19474288136.1712,20137752606.0778,24306048189.3602,33113540208.8854,33937563762.3087,35825277993.5253,43184221260.4354,50658505655.0354,37976000475.2629,37530667850.6958,40072694496.5691,34903649137.5201,37005318673.2079,41029711958.8812,34937865462.3096,32905337510.4637,38237102482.622,43505091906.7719
FRA,France,96164682221.1525,99925529105.551,112137671297.827,125315487463.474,141994569249.144,152356306317.709,164602745987.679,195741227135.927,223152067320.758,192975688500.565,200653956765.941,235640078675.422,233368842051.311,253109704353.615,271721280332.319,254811781528.013,258492518338.976,273733143249.705,301781653863.365
DNK,Denmark,23721283806.3464,25134384298.977,26666607077.5048,31672415257.9208,36304296013.8576,43585785983.4255,52958428070.2558,62985147949.9807,73796838949.3095,56833806999.6598,61202969117.1102,67021336510.9728,67140715069.3429,71216176490.6927,73049538516.8134,64063656082.7591,63170833523.5604,71753507419.2873,82057566593.8114
GEO,Georgia,327771487.64,341848792.89,380625949.44,444116212.57,524019263.77,670456604.99,829437304.29,989044492.34,1167030587.92,1240733245.86,1556232030.21,1926753251.35,2465208344.55,2882107323.46,2953892882.12,2998449370.05,3218476217.75,3891854808.89,4391718989.05
CZE,Czechia,9679176328.42743,9986008313.27617,10170300246.6995,11437476619.5559,12717291747.5346,12812505343.0459,15493121525.809,18918332723.6601,23695352725.1263,20570454663.2631,21924716061.5254,24885604273.0121,24201798668.7121,23949485338.8092,25049027204.161,23256713656.7983,24336029352.5017,27355796698.582,30562067084.4004
SWE,Sweden,19786458526.8338,21003750868.4536,21926492754.3386,26177793403.6141,33664510128.7401,37700179314.6342,42948397604.9335,53245161706.1792,59079494026.2197,49830657642.211,53523507242.2911,64779050535.6596,64493100015.4289,74695993491.3027,75172357421.8694,70822511838.4318,69686002315.0654,71423385462.6691,73042107454.3562
CYP,Cyprus,3798144880.42926,4066760489.35673,4080144892.28222,4750937586.25951,5478096396.60448,5676331305.644,6188726180.28855,7799539400.07428,10653315666.3432,9121693231.1335,9201281918.8435,10284229683.0111,9651065008.97709,10829722605.4245,11509523950.6859,10480980276.7059,11743797363.4392,13670980323.7326,14557286647.5755
AZE,Azerbaijan,234444000.0,255860000.0,318376000.0,386776000.0,497877000.0,683140000.0,866927000.0,1379864000.0,1575676000.0,2020435000.0,2396576000.0,2934415000.0,4681048000.0,4106388000.0,4268861000.0,4423067000.0,4340954000.0,4660773000.0,4661131000.0
IRL,Ireland,,,,,,54438858110.0884,65050782996.5347,81108317187.0999,89062745475.289,84029042130.1608,89075445634.6318,103739272706.526,103821166341.386,116292934714.406,132081489712.533,132874095191.784,148995263423.491,182945785463.576,222073825311.831
MKD,North Macedonia,420288712.63084,364896364.341773,358775972.985109,516187903.151295,598082666.492227,660374351.320381,737922072.834888,1034130155.64866,1240914726.7008,1086384632.25482,974711351.855598,1443267626.13803,1361379551.13647,1527390655.25901,1724045879.21426,1524445537.55813,1532853004.32723,1622275887.99764,1854253953.04495
