economy,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ZWE,Zimbabwe,33.6548881530762,34.1728439331055,34.2000007629395,35.1883506774902,35.690601348877,36.1923141479492,37.2000007629395,37.2040100097656,37.7193450927734,43.369083404541,38.7825508117676,36.9000015258789,44.0,40.4983749389648,32.2999992370605,33.7000007629395,42.5617294311523,44.1786346435547,45.5726470947266
ZMB,Zambia,16.7000007629395,20.1723861694336,17.3999996185303,18.5,20.2999992370605,23.3213081359863,24.1072578430176,18.5,25.6954288482666,26.5030708312988,22.0,28.1590099334717,29.0127258300781,29.8862724304199,27.8999996185303,31.1000003814697,35.4254531860352,40.2999992370605,40.3178901672363
YEM,"Yemen, Rep.",49.187255859375,50.3412399291992,51.4876365661621,52.6288032531738,49.5900001525879,54.9048194885254,55.8003349304199,57.1885681152344,58.3399314880371,59.5012397766113,60.6751937866211,61.8645057678223,52.4099998474121,75.5999984741211,66.0999984741211,67.3109283447266,68.859504699707,79.1999969482422,62.0
PSE,West Bank and Gaza,99.6999969482422,99.0999984741211,99.2368545532227,99.0999984741211,99.5,99.5999984741211,99.6999969482422,98.8000030517578,99.8000030517578,99.9000015258789,99.9000015258789,99.6999969482422,99.8000030517578,99.9000015258789,99.9000015258789,99.9000015258789,100.0,99.6999969482422,100.0
VIR,Virgin Islands (U.S.),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
VNM,Vietnam,87.8284149169922,88.6074752807617,89.0999984741211,90.1451950073242,90.9085464477539,96.0999984741211,96.0,93.2052688598633,93.9817123413086,96.0999984741211,97.4300003051758,99.0,97.8899993896484,98.5549621582031,99.1999969482422,99.8213043212891,99.1999969482422,100.0,100.0
VEN,"Venezuela, RB",98.9000015258789,99.9000015258789,99.8000030517578,95.6999969482422,99.0999984741211,98.8561630249023,99.3000030517578,98.8881759643555,98.9136734008789,98.949104309082,99.0549468994141,98.8399963378906,99.2080764770508,99.2572174072266,100.0,100.0,99.4000015258789,99.1999969482422,99.9112014770508
VUT,Vanuatu,22.1430797576904,23.9438800811768,25.7370986938477,27.5250797271729,29.3101749420166,31.0947341918945,26.4400005340576,33.6246185302734,36.4703025817871,33.2911148071289,44.0999984741211,41.9353294372559,43.7895278930664,31.7000007629395,49.057445526123,52.2051010131836,57.8199996948242,62.7999992370605,61.7545127868652
UZB,Uzbekistan,99.5932693481445,99.6301040649414,99.6999969482422,99.6833648681641,99.7044982910156,99.7250823974609,99.4900970458984,99.7745361328125,99.8087463378906,99.8529052734375,99.9128875732422,99.9614410400391,99.9898223876953,99.9988708496094,100.0,100.0,100.0,100.0,100.0
URY,Uruguay,97.6768646240234,97.7853927612305,97.8863296508789,97.9820404052734,98.0748596191406,98.1671447753906,98.5054244995117,98.6926345825195,98.7843551635742,99.0999984741211,99.3000030517578,99.1699981689453,99.5999984741211,99.6118087768555,99.6570816040039,99.7094802856445,99.6999969482422,99.8000030517578,99.8000030517578
USA,United States,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GBR,United Kingdom,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ARE,United Arab Emirates,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
UKR,Ukraine,100.0,100.0,100.0,100.0,100.0,99.8855590820313,100.0,99.8000030517578,100.0,100.0,100.0,100.0,99.8674926757813,100.0,100.0,100.0,100.0,100.0,100.0
UGA,Uganda,7.35113048553467,8.60000038146973,7.80000019073486,10.5635538101196,11.6254568099976,8.89999961853027,9.0,14.8178224563599,15.8928136825562,10.0,12.1000003814697,14.6000003814697,20.3192710876465,13.8999996185303,20.3999996185303,18.5,26.7000007629395,32.5211524963379,41.9199981689453
TUV,Tuvalu,94.6306762695313,94.835823059082,94.6297836303711,95.225715637207,95.4151611328125,95.6040725708008,95.7948455810547,96.6999969482422,96.1926803588867,96.4051513671875,96.6302719116211,96.8707504272461,97.6717758178711,97.4076766967773,97.703857421875,98.0148849487305,97.3000030517578,98.8538360595703,99.0653839111328
TCA,Turks and Caicos Islands,95.5999984741211,94.870361328125,95.1637191772461,95.4518432617188,95.7370758056641,96.0217742919922,96.308349609375,96.5994415283203,96.8977661132813,100.0,100.0,100.0,93.0999984741211,100.0,100.0,100.0,100.0,100.0,100.0
TKM,Turkmenistan,99.5999984741211,99.7351837158203,99.7191925048828,99.6979675292969,99.6738510131836,99.6492004394531,99.8413314819336,99.6081619262695,99.5971374511719,99.5960540771484,100.0,99.8774108886719,99.8958358764648,99.9120941162109,99.9351043701172,100.0,99.9898986816406,99.9962463378906,100.0
TUR,Turkiye,100.0,100.0,100.0,100.0,99.9979934692383,99.9870300292969,99.9607238769531,99.9231719970703,99.880859375,99.8508758544922,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TUN,Tunisia,94.8000030517578,97.3000030517578,97.8000030517578,98.4000015258789,99.0,99.3000030517578,99.4000015258789,99.4000015258789,99.4000015258789,99.5,99.5,99.5,99.5,99.6999969482422,99.8000030517578,99.9000015258789,100.0,100.0,99.8000030517578
TTO,Trinidad and Tobago,91.2900009155273,96.9320220947266,97.1231460571289,97.3090209960938,97.4920196533203,97.6744766235352,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TON,Tonga,85.5786285400391,86.2936248779297,87.0010375976563,87.7032165527344,88.4025115966797,89.1012649536133,92.3000030517578,90.5070419311523,91.2194290161133,91.9417495727539,92.6767196655273,92.1754531860352,92.8000030517578,94.9836654663086,95.7897033691406,100.0,97.0199966430664,98.361572265625,99.132568359375
TGO,Togo,16.9562339782715,19.6003665924072,21.3528614044189,23.100118637085,24.8444919586182,26.5883274078369,27.8999996185303,30.0842666625977,31.8417263031006,33.6091270446777,30.7917442321777,39.7000007629395,38.9980621337891,40.8313674926758,45.7000007629395,44.647590637207,46.7650108337402,48.0,50.0
TLS,Timor-Leste,17.5928115844727,25.6000003814697,23.9636135101318,27.7000007629395,30.3134727478027,33.4864234924316,36.6612434387207,36.5999984741211,43.0271644592285,46.2236785888672,38.0,52.6573677062988,55.8999557495117,59.1623764038086,62.4426078796387,67.2815322875977,76.5,79.7789611816406,85.3814010620117
THA,Thailand,82.0999984741211,90.4513778686523,91.0802230834961,91.7038269042969,92.3245468139648,92.9447326660156,99.1462020874023,94.1933670043945,94.8271713256836,98.9599990844727,99.6999969482422,99.3518371582031,99.1086273193359,99.4405746459961,99.4619445800781,99.5999984741211,99.8499603271484,99.9000015258789,99.8199996948242
TZA,Tanzania,8.91672611236572,9.861008644104,10.7977066040039,11.1000003814697,11.3999996185303,13.5857858657837,14.5156984329224,15.4501323699951,11.5,11.1999998092651,14.8000001907349,14.1999998092651,15.3000001907349,16.3999996185303,23.5,26.1706371307373,32.7999992370605,32.2511749267578,35.048023223877
TJK,Tajikistan,98.4677429199219,98.6331024169922,99.0,100.0,98.6270904541016,99.3000030517578,98.6165390014648,98.6167221069336,98.624137878418,99.0,98.671501159668,98.7168579101563,99.0999984741211,98.8635482788086,98.9646224975586,98.0,99.2083129882813,99.3000030517578,99.3000030517578
SYR,Syrian Arab Republic,93.4835891723633,93.2186508178711,86.5999984741211,92.6683578491211,92.3877105712891,92.1065292358398,99.5057601928711,91.5524215698242,91.2848663330078,91.0272445678711,92.6999969482422,91.5147247314453,90.7931900024414,90.1493988037109,89.9754943847656,89.8164291381836,89.6692352294922,89.5309448242188,86.0
CHE,Switzerland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SWE,Sweden,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SUR,Suriname,95.4943771362305,95.3973846435547,95.2928161621094,95.1830062866211,95.0703125,94.9570770263672,91.0198364257813,94.738883972168,94.639274597168,94.5496139526367,91.1975173950195,94.4109344482422,94.3673400878906,94.3435821533203,94.3376312255859,94.8952331542969,95.8163146972656,96.6963348388672,97.4000015258789
SDN,Sudan,23.0,29.2552261352539,29.5256023406982,29.7905673980713,30.0523929595947,30.313346862793,30.5757923126221,30.8424415588379,19.9699993133545,29.0,38.0397758483887,39.8208045959473,41.5919952392578,43.3435173034668,44.9000015258789,46.9031066894531,48.8494033813477,50.7547187805176,52.4470024108887
VCT,St. Vincent and the Grenadines,79.8817749023438,82.4100036621094,82.4681243896484,83.7522735595703,85.0335311889648,86.3142623901367,87.5968551635742,88.7900009155273,90.1783294677734,91.4826202392578,92.799560546875,94.1318588256836,95.4822235107422,96.8524169921875,98.2404251098633,99.6432723999023,99.8008422851563,99.9777069091797,100.0
MAF,St. Martin (French part),100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9974060058594,99.9841156005859,99.9549026489258,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LCA,St. Lucia,89.3874359130859,89.9000015258789,90.3582916259766,90.8346939086914,91.3082122802734,91.7811889648438,92.2560424804688,92.7354202270508,93.2220230102539,93.7185668945313,94.1999969482422,94.7525177001953,95.3434219360352,95.8573837280273,96.4376373291016,97.0327377319336,97.6397094726563,98.2798080444336,98.8773956298828
KNA,St. Kitts and Nevis,95.2815399169922,93.5299987792969,95.8031845092773,96.0549850463867,96.3038940429688,96.5522689819336,96.8025207519531,97.0572891235352,97.3192901611328,97.5912246704102,99.843391418457,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LKA,Sri Lanka,70.2628021240234,63.5999984741211,80.6999969482422,74.9988174438477,76.5685806274414,78.137809753418,82.0500030517578,80.0,82.8673934936523,87.0899963378906,85.3000030517578,87.7600021362305,87.0,90.1999969482422,92.660514831543,94.3518676757813,97.5,97.5,99.5648727416992
ESP,Spain,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SSD,South Sudan,,,,,,,0.643131792545319,1.03156232833862,1.42722380161285,3.0,1.5,2.68468475341797,3.13636112213135,3.60786819458008,4.09718370437622,4.60133981704712,5.1173677444458,4.19999980926514,6.17316961288452
ZAF,South Africa,72.2824630737305,70.1999969482422,76.6999969482422,78.8000030517578,80.9000015258789,80.8000030517578,80.6999969482422,82.0,81.9000015258789,82.5999984741211,82.9000015258789,83.5999984741211,85.3000030517578,85.1999969482422,85.9000015258789,85.3000030517578,83.9000015258789,84.4000015258789,84.6999969482422
SOM,Somalia,1.89250123500824,4.50461578369141,7.40000009536743,9.70844078063965,12.3048496246338,14.9007215499878,15.2337856292725,20.1007328033447,22.7102298736572,25.3296661376953,52.1633453369141,51.9681129455566,51.7619171142578,51.5337905883789,51.2936363220215,51.1348609924316,51.1132354736328,52.0999984741211,50.7649765014648
SLB,Solomon Islands,4.51702928543091,7.47523641586304,10.4258584976196,13.3712463378906,16.3137474060059,19.2557106018066,14.3999996185303,12.8999996185303,28.1034965515137,21.2000007629395,34.7748069763184,38.6799926757813,42.5742111206055,44.7000007629395,50.3067588806152,55.0999984741211,58.3271942138672,62.9000015258789,66.1797637939453
SVN,Slovenia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVK,Slovak Republic,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SXM,Sint Maarten (Dutch part),100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9974060058594,99.9841156005859,99.9549026489258,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SGP,Singapore,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SLE,Sierra Leone,7.78814268112183,8.55077075958252,9.30581474304199,10.0556230545044,16.7999992370605,11.3324851989746,12.2971878051758,13.0499677658081,12.1000003814697,14.579927444458,11.4621734619141,14.1999998092651,16.9765110015869,13.5,18.6660308837891,19.5345363616943,20.2999992370605,23.3999996185303,26.1000003814697
SYC,Seychelles,94.0893402099609,94.4017639160156,96.0999984741211,95.0061950683594,95.3029098510742,95.5990905761719,99.0,96.1997146606445,96.509521484375,96.8292617797852,97.0,98.1479644775391,98.3913650512695,98.0,100.0,100.0,100.0,100.0,100.0
SRB,Serbia,100.0,100.0,100.0,100.0,100.0,99.6907196044922,100.0,100.0,100.0,100.0,99.7183990478516,100.0,100.0,99.9199981689453,99.6607971191406,99.9000015258789,100.0,100.0,100.0
SEN,Senegal,37.7400016784668,38.7576179504395,36.7999992370605,41.9641342163086,36.7999992370605,47.0999984741211,49.9000015258789,48.3618087768555,49.9726524353027,53.5,56.5,56.5,56.5,57.0,61.0,60.5,64.5,61.7000007629395,66.0
SAU,Saudi Arabia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9000015258789,99.9300003051758,100.0
STP,Sao Tome and Principe,52.9000015258789,51.4911727905273,52.5872421264648,53.6780776977539,54.7660217285156,55.8534355163574,56.9427185058594,58.0365219116211,59.1375579833984,56.9000015258789,61.3721580505371,62.5111427307129,57.9000015258789,64.8450775146484,68.5999984741211,67.2492980957031,69.3205184936523,74.2699966430664,71.0
SMR,San Marino,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WSM,Samoa,87.8578262329102,88.5846481323242,89.3038787841797,90.0178833007813,90.7289962768555,91.439567565918,96.3717269897461,92.8689880371094,98.0999984741211,97.9000015258789,96.3610534667969,96.668571472168,96.8269348144531,97.4165344238281,97.9000015258789,99.0670852661133,99.623291015625,96.8000030517578,99.9944763183594
RWA,Rwanda,6.19999980926514,4.57231616973877,5.93285799026489,7.2881646156311,8.64058494567871,4.80000019073486,11.3462257385254,12.7045030593872,6.0,15.4454612731934,9.69999980926514,10.8000001907349,17.5,15.1999998092651,19.7999992370605,22.7999992370605,29.3700008392334,34.0999984741211,36.9681510925293
RUS,Russian Federation,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.5,100.0,100.0,100.0
ROU,Romania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0999984741211,100.0,100.0
QAT,Qatar,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PRI,Puerto Rico,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PRT,Portugal,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
POL,Poland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PHL,Philippines,74.6616897583008,75.7229461669922,76.7766189575195,76.5999984741211,87.5999984741211,79.9156188964844,80.1800003051758,82.0139083862305,83.3000030517578,84.3000030517578,85.3976440429688,87.1999969482422,87.0800018310547,87.5,89.7203674316406,89.0800018310547,92.0665054321289,93.0,94.4482650756836
