economy,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ARM,Armenia,1030659258.72791,1123379892.78885,1261235746.41002,1602744849.89084,2008567017.20226,2520290987.85081,3035898215.23701,4334334440.17214,5513086608.66829,4442602404.30701,5127970681.39017,5623304799.55248,5823562500.21111,6053636513.26958,6177955730.98381,4876717430.26898,5071907002.2966,6265806862.42813,7389479214.66809
SMR,San Marino,,,,,,,,,,,,,,,,,,,
CHE,Switzerland,171712834447.533,171858996282.78,166265360039.443,193337947319.088,225879025782.104,271879072581.346,298476876918.7,378028424760.142,430729403259.389,374925830950.367,425281861116.314,528115292610.032,513140833308.071,543329101003.533,553344544920.779,507925414847.382,541497672631.426,579258902662.796,618514248929.861
GRC,Greece,45382755062.9772,44924978104.1131,44645472905.3391,56872994993.646,70338045469.4319,77684728975.1197,94482374626.2396,120071182749.29,143526607926.112,103167376172.096,96178793859.5335,102144295556.601,76692579258.063,88810991557.8219,91491814024.0464,72055785753.4714,69795832020.7643,79938077969.7079,94995069455.8871
FRA,France,437624258938.707,435679531414.413,456274182788.324,545262445216.029,650606239098.756,728975840678.452,830678883053.385,980996140953.868,1090402129004.07,849314533943.524,903567437833.824,1039119472664.34,986440144083.639,1012602059826.95,1036687795442.02,914868527030.262,917888690627.719,991405181231.672,1100991125369.97
DNK,Denmark,80412321752.3666,78917721799.8447,84920769553.7091,96889923196.3866,114038404124.947,134394700758.776,157153929077.471,188582941841.157,213833859980.634,159327728938.879,161249124401.136,186446022124.406,177978441971.084,186609570944.272,188870555652.38,166623177720.696,165617944923.761,180897682237.923,202144061641.77
GEO,Georgia,1419546356.59,1441102734.59,1586137047.96,1995079678.16,2649969584.84,3469824653.25,4556359216.25,6325674012.75,8115821306.85,5780932588.7,6887972932.11,9171669276.49,10388909020.45,10500798531.445,11275362076.45,9839227000.4,10103396629.54,11271144161.43,12734433867.2
CZE,Czechia,34426668512.1653,38866355756.7452,44411876059.6246,55763226714.0593,76642163931.8655,91321212794.4354,110921699865.383,142697216033.563,164833547618.505,131884994197.718,149889637288.739,173954847038.442,167941926240.204,168457417679.559,178307717010.258,157999955620.103,159039545726.119,179812461987.762,200643898906.228
SWE,Sweden,118594936435.021,106369555441.81,108796943400.409,134412513414.641,165754565906.553,185633398945.705,213357403078.014,259961288375.67,284144925286.945,207327558574.888,243219534001.752,286445437776.272,270145909765.689,275543953913.549,283253438526.807,244406642122.07,247055214593.372,263688451459.618,288608711287.767
CYP,Cyprus,6256667085.5587,6250444942.61186,6635173039.84717,7639096143.58654,9563580326.78222,10744447205.3885,12180622452.6215,16263242503.0568,33006928545.1638,29702858762.2145,32507479587.4087,37692964038.7499,33263469576.6176,35067832381.098,37036223563.7081,44904618908.2443,29496483552.2426,43161011369.8964,50454193488.6549
AZE,Azerbaijan,2414879000.0,2538585000.0,3531004000.0,5245905000.0,6966306000.0,8657887000.0,10853054000.0,14669133000.0,17081877000.0,13857507000.0,14379007000.0,21585967000.0,22811490000.0,24649800000.0,23974276000.0,21732523000.0,19919961000.0,20149623000.0,21795599000.0
IRL,Ireland,,,,,,223942334677.434,266749495950.267,337595350136.73,356116752990.819,282049857150.469,279332599631.312,306767568621.596,313170938377.465,314315212280.095,361149068250.868,406014798655.786,449219988537.522,490136109629.711,546173633618.489
MKD,North Macedonia,1889667396.18496,1642340300.54742,1909133125.42286,2274217548.40605,2977543725.51168,3392855988.19646,3932456829.13954,5798627429.95066,7206301920.42752,5378427915.79416,5788875376.574,7346883122.43508,6922305203.90944,7148832626.44174,7802578261.83179,7021046392.3193,7658287614.24903,8443546238.38028,9936065689.4826
HRV,Croatia,9342741132.79894,10748938469.3571,13254085840.2833,17830547627.0505,20578725216.3591,22651262684.6363,25948257816.3826,31136271017.4237,37299362494.7815,27468613293.732,25880861834.2954,28747551004.6747,26407466380.6568,27083955636.2774,27529378808.1114,24014703635.5189,25485799690.7592,28610267258.9424,34401381544.8241
ALB,Albania,1359600000.0,1608700000.0,1848090000.0,2290296334.14309,2921069546.113,3552961514.68275,4142215603.40901,5429247205.62995,7146688209.08859,6598438373.47791,6279139430.06637,7007740981.26057,6185327535.83752,6159382111.77532,6562951490.63424,5351583367.82557,5700813018.9323,6549610684.31047,7334165155.14505
TKM,Turkmenistan,,,,,,,,,,,,,,,,,,,
FIN,Finland,48795803071.5894,47381406330.6528,50323338344.6211,62977304772.0512,74808385228.5938,87350980603.6354,103308096735.205,125974217998.755,144943860897.296,100725353880.894,109507196613.916,129749094228.635,123909405189.741,123705725069.613,123343719465.407,99546368237.4485,103615365075.541,114139821817.77,128857003527.179
LTU,Lithuania,5543532500.0,6315425000.0,7444096251.16868,9903484945.11458,13646109376.5032,17320304155.4873,21892862962.0123,28415675210.3969,36383824826.6268,20283836533.9776,26105017245.0865,35825378640.3904,35841315578.3339,38241602554.0028,36024672949.6051,31423871997.0464,31282410156.8884,36866410430.8188,42411489703.6423
UKR,Ukraine,18007000000.0,20216000000.0,20932000000.0,26865000000.0,35515000000.0,43695000000.0,54479000000.0,73858000000.0,103807000000.0,61101000000.0,76332000000.0,103078000000.0,110909000000.0,108153000000.0,77076000000.0,52216000000.0,58399000000.0,70379000000.0,81136000000.0
SRB,Serbia,,,,,,,,23328393455.7518,29213186983.7268,19627532829.5623,20301989298.6951,25565349108.8759,24088636072.1743,26326524817.1853,26655469860.025,23271440140.8576,24622385223.7287,28809611790.2525,33025243487.8221
LIE,Liechtenstein,,,,,,,,,,,,,,,,,,,
FRO,Faroe Islands,678990000.0,660060000.0,676950000.0,906720000.0,808229494.248089,982532464.385611,1125156636.7908,1465542393.81825,1516381752.91057,1262318511.80034,1237331368.70482,1460166176.47287,,,,,,,
MDA,Moldova,1008410000.0,1066450000.0,1246050000.0,1714160000.0,2082350000.0,2672840000.0,3128670000.0,4358900000.0,5670320000.0,3976460000.0,4468330000.0,5921970000.0,5904560000.0,6294540000.0,6165140000.0,4846600000.0,4783900000.0,5697610000.0,6851810000.0
LVA,Latvia,2934176066.41347,3361867511.39656,3864301466.15404,5554044360.1875,8256240662.77056,10716218206.2981,14840990438.5348,20510000703.7885,21459555016.2895,11544378814.6546,14392809308.6579,19743026650.6762,20633819396.2933,21326757397.5275,21762196194.4648,18517154803.4953,18263654507.8418,20832408827.8163,23671024204.4139
NLD,Netherlands,279159250944.698,274631048142.916,283108436840.421,344231237555.624,516306513222.042,586774189487.736,665045563451.045,861411829068.207,924234129947.207,740635514698.921,820616127899.564,933660468490.998,876320170732.259,912798517131.73,974424904883.231,874036926898.566,850898704508.48,913455763391.623,1039884974307.5
SVK,Slovak Republic,15219101872.9943,17705906054.4263,15560137901.9177,20228050551.0813,45503838302.0161,52419832555.5558,65494095419.4255,79177642462.7743,89969326827.5234,65665436988.4471,75162994845.6569,91689772095.8682,87108356984.5069,92687241864.7534,94248279860.676,84637284518.0943,87146546970.174,94522169164.9646,106164232540.936
KAZ,Kazakhstan,10362562034.1937,12046787248.5999,12946795262.1404,15324920859.5104,22248917513.4968,32007939120.0339,44007203673.0214,61750759839.3428,72686683389.4174,54596821092.2733,66336970487.3552,81299845640.1304,91208863886.2575,90717533542.6921,81216469275.0517,58705601499.3649,52104042959.4354,61670605287.8398,71549770027.2011
IMN,Isle of Man,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,,,,,,,,,,,,,,,,,,,
GRL,Greenland,,,,,,,,,,,,,,,,,,,
ISL,Iceland,3907537455.25494,3558389843.24426,3496811792.54704,4630096538.83644,6319139004.21345,9196271648.4764,11871661362.9181,14613927544.1581,13284260002.7202,8359212026.34939,8477671016.0527,10282269034.8661,9404266093.47602,8541093581.79072,9219031372.80448,8659817589.10362,9173102399.71721,10890173246.6956,11850303485.5572
