economy,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ARM,Armenia,20.0434850118925,23.9005346945504,27.3467421518344,37.6075166699634,24.3471641114638,21.9966162820068,16.6486420897007,16.2270473923842,18.7715644077228,16.2415582115884,18.0660234860995,27.9855146220646,26.3638354440529,27.6561438017907,26.1623831152567,24.2816028651953,24.81369174219,25.7643823322111,24.5619890610156
SMR,San Marino,,,,,,,,,,,,,,,,,,,
CHE,Switzerland,30.6549040031972,32.2940496331306,36.0568203371296,35.1487259620877,37.3062740661824,38.1328061669551,35.8485141185722,34.4287636793423,36.7038299875346,42.0079224336511,45.0524824022503,46.7522723211077,50.4464544175331,49.7368962074689,51.3685801497693,53.248234776795,54.9272261264071,53.1452379012642,54.5170616912047
GRC,Greece,9.33970441057056,10.0060568867917,9.47098061836729,9.68571719098179,10.4390345208364,8.54874423579338,8.36405696266944,8.64050111018277,8.43127698317583,9.88439602893676,10.8200291939122,12.1140695229556,11.2589703680841,11.2077391608104,12.2402414529813,10.3739149353241,11.499982309303,11.319348120939,10.2987603475531
FRA,France,43.9631116833161,46.1849953883076,47.8813503155176,47.2732745851602,44.7186157391549,47.9339124388215,47.2404035230364,46.8616122168607,48.0395156333712,49.203651830094,49.6491589422068,48.599986924906,49.4106776677115,50.4771317180954,53.8471190933004,54.4320805131268,55.0208826634205,54.1176520797659,54.8962436719477
DNK,Denmark,39.0386694290613,39.1624988263826,40.8263130976716,39.0813963618456,37.3589495666132,24.6768735913346,25.2766070169099,25.0980396367945,25.7126695552349,30.3881816127223,26.0126327791947,27.4719896327584,28.6859349397185,27.7372763457576,27.1034498712591,30.8323237549212,34.8147887979536,34.3540523217342,36.1966244069296
GEO,Georgia,6.85465386015416,8.70743801034223,9.42505003475991,14.1021013526113,10.0747497449201,9.66047203919574,8.73528582874874,7.10849065279777,6.88056882066098,9.00902768527996,9.26550180441555,6.9518528019169,6.62472582656342,5.93507477281057,5.69017413554174,4.95693241495424,5.00986429014914,5.12471813373952,3.74641750713633
CZE,Czechia,65.1735163362145,66.7422137032951,51.7124102466298,48.3351594046029,41.2910184248461,34.4145849771536,35.6565263240501,36.4850426463632,38.9529298004871,38.8943873216165,39.9675351741121,39.9918745952375,42.1095375203459,44.9682154258118,47.0628892248838,47.2265363854995,47.8196908221015,48.2445513592242,48.2224226617861
SWE,Sweden,49.9518066428733,51.6787281852168,50.6544838794733,53.1922009687062,52.3958860351872,52.3221793602797,52.3778137050747,54.9839103354237,55.9334477699353,59.3940455086326,61.4778159340729,62.2013648190592,62.3207074653899,63.7923518064792,64.6856684233272,65.049893644546,65.3477602527647,65.1319595274715,66.953972492793
CYP,Cyprus,24.4416243654822,27.9952358448542,25.54422047553,25.85709484584,27.969308291515,26.2564700746171,27.7018126026449,27.4065136365431,14.3029720005865,12.5708412274004,10.4401609830162,10.3375186351858,13.2113558854703,16.0902045770455,15.1024970505996,15.7997207117501,17.0306688765219,21.4223869019559,21.5329518835937
AZE,Azerbaijan,22.2010373479381,20.170796529352,17.3452144634018,32.6602477920036,44.0612842127674,52.4549872646895,34.2695521076169,40.2925940527472,37.1605583889074,48.2181807383064,45.1981076335572,29.5085051023799,31.9127896146333,22.0652310497693,16.3582744905491,13.0014535163044,11.8066213095094,13.9034233162611,16.6947249498029
IRL,Ireland,,,,,,59.4795350358344,58.344858208473,60.1642181575814,63.4726182387687,67.3203378648775,68.7260558680838,70.4207678933589,67.4924427068941,69.855314436704,71.8420935111156,71.8989088286847,74.3600306138753,76.2378849575604,79.5924963950662
MKD,North Macedonia,61.2045027888898,69.5095842126918,65.4461463231643,63.7254095188641,63.1862995686922,61.4628174065598,56.0863705756916,56.2517896296249,54.3820637376247,56.5956302450514,51.2430438456611,57.593916093321,58.517871311487,58.334874040524,58.6398228282946,59.1371513589088,58.3359116676159,55.1261219136155,54.2752074693672
HRV,Croatia,24.6833518693726,24.7409574348668,23.2695751075194,22.8961025612781,23.0134292733925,19.2025296627099,17.6863574858843,16.7469184138295,18.7680751677947,19.5639315564038,20.3512361051302,19.7550045044281,18.3413897997292,18.7075788345046,18.5895835742643,20.8995187985201,20.8308982374887,20.3173078310806,21.5977143598028
ALB,Albania,7.358619123325,8.95170789163723,5.90334680796825,14.7159603884017,22.2346143670462,20.2448878857147,25.7575886338218,23.8347259664,25.0694962135901,18.2866694812893,26.3761800669312,28.9893856783402,26.4205823686089,22.443076205314,22.2698355560546,23.8484079568288,27.0355896123166,30.5054951702817,29.8507575844571
TKM,Turkmenistan,,,,,,,,,,,,,,,,,,,
FIN,Finland,59.7575527756415,67.2186970064982,49.2589563000871,47.8020327068784,50.0636420582167,59.3195194305134,,,66.0232238230281,68.3408717029251,66.5463227747791,65.1844951354852,67.7072411182783,69.2935981998339,70.5871767648405,72.9009889631328,73.1004955772957,71.6445362230546,70.9234454480716
LTU,Lithuania,32.5348493049063,33.6535399639104,32.4947860950492,31.0134539880451,19.8686942696145,18.0686868489478,16.6477857552241,16.6396339656197,16.4196294967711,19.0887891402303,19.7075094474269,18.8200565610264,19.1506388811368,19.636161796128,19.4209637278985,22.1887813394817,25.0507570999268,25.648635874649,24.6669106324441
UKR,Ukraine,26.1743500109242,23.3553331913988,21.7584041374215,20.5623901581722,21.0352552765004,22.5077492250775,22.3683087168104,23.7885163567259,24.9959890903257,27.9647491499549,30.7011111737831,32.6413813172956,35.1424694708277,36.1585282138117,44.6097928953504,45.8449434518931,46.1639884631232,47.294776119403,51.3323892893924
SRB,Serbia,,,,,,,,47.2985490947645,50.7118655381021,52.5654597142366,53.0891951118956,52.1215106858644,51.5422968893367,51.6703941370243,52.4745441075268,52.4218087861718,53.4315301392722,53.6422904864942,57.3491527727812
LIE,Liechtenstein,,,,,,,,,,,,,,,,,,,
FRO,Faroe Islands,12.289156626506,14.4014084507042,15.4688377316115,11.7753389283409,13.9919848024913,38.1612565860618,27.315089858958,18.0306443810771,14.9098904130771,30.5966315901818,31.8319751312668,38.6921722140799,,,,,,,
MDA,Moldova,27.9771101573677,29.3480064148648,25.6959898269676,29.0606130092487,34.2506730481603,34.8226292603756,37.0172587261048,35.8995959278667,36.730311769783,41.2048097356229,42.9795798677756,42.1235383939591,40.4925485718946,40.2455822383326,42.2986863874298,42.3210313820984,40.5028502617191,39.6993464052288,43.2208665338645
LVA,Latvia,,,,,,,,,24.2880325823558,23.5606152223682,26.6763347903545,25.0859853821634,26.0798305332224,29.1666810960104,26.6043006088209,26.0849322774163,30.8627500150742,33.7125139071811,36.9934545770902
NLD,Netherlands,49.0271714288124,49.0314230735083,52.4647280973246,58.4042912653093,64.8104039701299,64.7493407974616,64.7494146950094,64.7536746430893,64.6927828338015,64.7507090699519,63.2240130811301,64.3269796882159,65.3138403221221,64.9496657234009,66.780218206924,69.5591286081167,67.9454758078813,67.6148713903262,66.282957294352
SVK,Slovak Republic,33.4383101110912,27.7806409799426,59.6949417737986,66.5603199934387,,,,,34.7702038519075,32.0194680193045,33.552774471436,35.7246346217081,41.7116364779494,41.2948592862773,39.0954705251606,37.7994494038821,38.4292593193858,41.8435054144994,43.1439726561711
KAZ,Kazakhstan,8.09331820744444,7.17680000333395,8.82443005095249,15.7759989644988,13.366253326812,12.6592024824081,9.85430472943138,11.9791034585313,13.4164124015235,13.7490402312297,13.0411485911082,13.2569747964779,10.61557028376,12.6626071454209,10.7091279366791,11.1178199526816,11.1894118472312,9.00088525129981,10.056910793042
IMN,Isle of Man,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,,,,,,,,,,,,,,,,,,,
GRL,Greenland,,,,,,,,,,,,,,,,,,,
